# Plot#0 plots values of function over
# a range of values of x.
-5.0    100.0
-4.75   91.6875
-4.5    83.75
-4.25   76.1875
-4.0    69.0
-3.75   62.1875
-3.5    55.75
-3.25   49.6875
-3.0    44.0
-2.75   38.6875
-2.5    33.75
-2.25   29.1875
-2.0    25.0
-1.75   21.1875
-1.5    17.75
-1.25   14.6875
-1.0    12.0
-0.75   9.6875
-0.5    7.75
-0.25   6.1875
0.0     5.0
0.25    4.1875
0.5     3.75
0.75    3.6875
1.0     4.0
1.25    4.6875
1.5     5.75
1.75    7.1875
2.0     9.0
2.25    11.1875
2.5     13.75
2.75    16.6875
3.0     20.0
3.25    23.6875
3.5     27.75
3.75    32.1875
4.0     37.0
4.25    42.1875
4.5     47.75
4.75    53.6875
5.0     60.0
